strategy_name,n,horizon,start_year,end_year,is_after_tax,tax_rate,initial_capital,final_equity,cumulative_return,cagr,max_drawdown,total_taxes_paid,total_dividends_received,pre_liquidation_wealth,post_liquidation_wealth,post_liquidation_cagr,tax_drag,alpha_vs_spx
Top_3_MarketCap,3,10y,2014,2024,False,0.3,10000.0,89417.96801765467,7.9417968017654665,0.24492296855118134,-0.2997854704955993,0.0,2886.0812121760564,89417.96801765467,89417.96801765467,0.24492296855118134,0.0,0.11390094208256385
Top_3_MarketCap,3,10y,2014,2024,True,0.3,10000.0,76097.97371029526,6.609797371029527,0.22500344285271745,-0.30202369686976915,9326.621631748183,2738.8607824975606,76097.97371029526,62797.21673943041,0.20169440618495793,0.01991952569846389,0.1000852540193864
Top_3_MarketCap_Quarterly,3,10y,2014,2024,False,0.3,10000.0,88880.63572090078,7.888063572090078,0.24417283616308283,-0.30023939739922256,0.0,2598.4582765823475,88880.63572090078,88880.63572090078,0.24417283616308283,0.0,0.11315080969446534
Top_3_MarketCap_Quarterly,3,10y,2014,2024,True,0.3,10000.0,76519.17521656623,6.651917521656623,0.2256797980816727,-0.30263849073102694,6243.447255863613,2437.1253969174672,76519.17521656623,60933.83573070089,0.19808009202302834,0.018493038081410118,0.10076160924834165
Top_5_MarketCap,5,10y,2014,2024,False,0.3,10000.0,72886.65867573932,6.288665867573933,0.2197330850598722,-0.36295717222107593,0.0,1802.303683020323,72886.65867573932,72886.65867573932,0.2197330850598722,0.0,0.08871105859125472
Top_5_MarketCap,5,10y,2014,2024,True,0.3,10000.0,67716.76018349723,5.771676018349723,0.21079220733056947,-0.36403192187436584,2132.215034886973,1738.8893930126708,67716.76018349723,51894.28265286895,0.17899496741696774,0.008940877729302743,0.08587401849723841
Top_5_MarketCap_Quarterly,5,10y,2014,2024,False,0.3,10000.0,81825.32801567251,7.182532801567251,0.2339250344695396,-0.36338116773613016,0.0,1852.8806555225917,81825.32801567251,81825.32801567251,0.2339250344695396,0.0,0.10290300800092211
Top_5_MarketCap_Quarterly,5,10y,2014,2024,True,0.3,10000.0,75135.38576480452,6.513538576480452,0.22344500463618644,-0.36430162819402806,2235.402185507814,1761.1981492193875,75135.38576480452,57159.551565218644,0.19044375560066307,0.010480029833353166,0.09852681580285538
Top_10_MarketCap,10,10y,2014,2024,False,0.3,10000.0,61891.28101370366,5.189128101370366,0.1999494394056851,-0.3461714889059812,0.0,2116.8201476786962,61891.28101370366,61891.28101370366,0.1999494394056851,0.0,0.06892741293706761
Top_10_MarketCap,10,10y,2014,2024,True,0.3,10000.0,57067.08910880654,4.706708910880654,0.19025104667069415,-0.34742735527446933,2268.6921779809927,2038.6981550889877,57067.08910880654,44535.04690075127,0.161101514133694,0.009698392734990957,0.06533285783736309
Top_10_MarketCap_Quarterly,10,10y,2014,2024,False,0.3,10000.0,63808.24316575239,5.380824316575239,0.20361524182469926,-0.3422105737822446,0.0,2118.9628829599606,63808.24316575239,63808.24316575239,0.20361524182469926,0.0,0.07259321535608176
Top_10_MarketCap_Quarterly,10,10y,2014,2024,True,0.3,10000.0,58125.279643152906,4.812527964315291,0.19243991670515292,-0.3429072289090383,2638.681193193567,2027.4376065024942,58125.279643152906,45534.77258544254,0.16368200147219958,0.011175325119546331,0.06752172787182187
World_Top_3_MarketCap,3,10y,2014,2024,False,0.3,10000.0,109084.87971102119,9.908487971102119,0.2699202711960609,-0.3005050809338824,0.0,2829.157095018246,109084.87971102119,109084.87971102119,0.2699202711960609,0.0,0.1388982447274434
World_Top_3_MarketCap,3,10y,2014,2024,True,0.3,10000.0,96585.3199428516,8.658531994285159,0.2545590633717163,-0.30374497192458444,6131.618533580151,2680.9531240860297,96585.3199428516,74901.85693350222,0.22306421191792936,0.01536120782434458,0.12964087453838524
World_Top_3_MarketCap_Quarterly,3,10y,2014,2024,False,0.3,10000.0,102695.18722642894,9.269518722642895,0.26227798853599893,-0.3009745743406174,0.0,2617.824848918046,102695.18722642894,102695.18722642894,0.26227798853599893,0.0,0.13125596206738144
World_Top_3_MarketCap_Quarterly,3,10y,2014,2024,True,0.3,10000.0,89874.82359710336,7.987482359710336,0.24555756872477574,-0.30433922249813,5292.33913928513,2453.835398282853,89874.82359710336,69617.01391547194,0.21414774925838231,0.016720419811223186,0.12063937989144469
World_Top_5_MarketCap,5,10y,2014,2024,False,0.3,10000.0,74502.25633705428,6.450225633705427,0.22241013667607534,-0.36878223901171425,0.0,1769.8314915115443,74502.25633705428,74502.25633705428,0.22241013667607534,0.0,0.09138811020745785
World_Top_5_MarketCap,5,10y,2014,2024,True,0.3,10000.0,67020.02642637807,5.702002642637807,0.2095406245144973,-0.36982208308717385,3601.4463234933373,1699.4760189358499,67020.02642637807,52435.030924909996,0.18021777957063012,0.012869512161578056,0.08462243568116623
World_Top_5_MarketCap_Quarterly,5,10y,2014,2024,False,0.3,10000.0,81923.49206832198,7.192349206832199,0.23407298589674208,-0.3692433643430973,0.0,1793.1382877072047,81923.49206832198,81923.49206832198,0.23407298589674208,0.0,0.10305095942812459
World_Top_5_MarketCap_Quarterly,5,10y,2014,2024,True,0.3,10000.0,72477.15796277605,6.247715796277605,0.21904606098636448,-0.37012796859094427,3776.755307243337,1684.4609292572886,72477.15796277605,56377.73928901358,0.18880539054584156,0.015026924910377604,0.09412787215303342
World_Top_10_MarketCap,10,10y,2014,2024,False,0.3,10000.0,59396.05832392848,4.939605832392848,0.19502162003459467,-0.37237583885391046,0.0,2111.8823588659875,59396.05832392848,59396.05832392848,0.19502162003459467,0.0,0.06399959356597718
World_Top_10_MarketCap,10,10y,2014,2024,True,0.3,10000.0,53249.69160756439,4.324969160756439,0.18203873836007456,-0.37351316545187274,3269.3570567496326,2011.2579690629282,53249.69160756439,42563.33406501981,0.15585555346925517,0.012982881674520108,0.0571205495267435
World_Top_10_MarketCap_Quarterly,10,10y,2014,2024,False,0.3,10000.0,61645.585198429195,5.164558519842919,0.1994722307383192,-0.3595496159305663,0.0,2100.92170352963,61645.585198429195,61645.585198429195,0.1994722307383192,0.0,0.06845020426970172
World_Top_10_MarketCap_Quarterly,10,10y,2014,2024,True,0.3,10000.0,55038.80002292915,4.503880002292915,0.18595140971306168,-0.36069786580281793,3211.683909679286,1989.4819986608927,55038.80002292915,43775.338752825905,0.15910545989800906,0.013520821025257534,0.06103322087973062
Top_3_MarketCap,3,20y,2004,2024,False,0.3,10000.0,148411.67976973584,13.841167976973583,0.1443882868635118,-0.3851712353040345,0.0,7076.40090640758,148411.67976973584,148411.67976973584,0.1443882868635118,0.0,0.04084041583132403
